Lemma,Sense,SuperSense,POS_Tag,Definition,Examples,Head,Amod/Comp,Gender
vocaliser,utterer.n.01,noun.person,n,an organism that can utter vocal sounds,"['an utterer of foul oaths', 'is the giraffe a vocalizer?']",organism,,
vocaliser,singer.n.01,noun.person,n,a person who sings,[],person,,N
vocalist,singer.n.01,noun.person,n,a person who sings,[],person,,N
vocalizer,utterer.n.01,noun.person,n,an organism that can utter vocal sounds,"['an utterer of foul oaths', 'is the giraffe a vocalizer?']",organism,,
vocalizer,singer.n.01,noun.person,n,a person who sings,[],person,,N
vociferator,vociferator.n.01,noun.person,n,a loud and vehement speaker (usually in protest),[],speaker,,N
vogul,vogul.n.01,noun.person,n,a member of a nomadic people of the northern Urals,[],member,,N
voice,voice.n.07,noun.person,n,(metonymy) a singer,['he wanted to hear trained voices sing it'],metonymy,,
voice,spokesperson.n.01,noun.person,n,an advocate who represents someone else's policy or purpose,['the meeting was attended by spokespersons for all the major organs of government'],advocate,,N
voicer,voicer.n.01,noun.person,n,someone who regulates the tone of organ pipes,[],someone,,N
voicer,voicer.n.02,noun.person,n,a speaker who voices an opinion,[],speaker,,N
voider,invalidator.n.01,noun.person,n,an official who can invalidate or nullify,['my bank check was voided and I wanted to know who the invalidator was'],official,,N
voider,defecator.n.01,noun.person,n,a person who defecates,[],person,,N
volleyball_player,volleyball_player.n.01,noun.person,n,someone who plays the game of volleyball,[],someone,,N
volta,volta.n.01,noun.person,n,Italian physicist after whom the volt is named; studied electric currents and invented the voltaic pile (1745-1827),[],physicist,,PPN
voltaire,voltaire.n.01,noun.person,n,French writer who was the embodiment of 18th century Enlightenment (1694-1778),[],writer,,PPN
volund,volund.n.01,noun.person,n,(Norse mythology) a wonderful smith; identified with Anglo-Saxon Wayland and Teutonic Wieland,[],mythology,,PPN
vomiter,vomiter.n.01,noun.person,n,a person who vomits,[],person,,N
von_bismarck,bismarck.n.01,noun.person,n,German statesman under whose leadership Germany was united (1815-1898),[],statesman,,PPN
von_blucher,blucher.n.01,noun.person,n,Prussian general who is remembered for his leadership in the wars against Napoleon (1742-1819),[],general,,PPN
von_braun,braun.n.02,noun.person,n,United States rocket engineer (born in Germany where he designed a missile used against England); he led the United States Army team that put the first American satellite into space (1912-1977),[],engineer,,PPN
von_mauser,mauser.n.01,noun.person,n,German arms manufacturer and inventor of a repeating rifle and pistol (1838-1914),[],manufacturer,,PPN
von_neumann,von_neumann.n.01,noun.person,n,United States mathematician who contributed to the development of atom bombs and of stored-program digital computers (1903-1957),[],mathematician,,PPN
von_rundstedt,rundstedt.n.01,noun.person,n,German field marshal in World War II who directed the conquest of Poland and led the Ardennes counteroffensive (1875-1953),[],marshal,,PPN
von_sternberg,von_sternberg.n.01,noun.person,n,United States film maker (born in Austria) whose films made Marlene Dietrich an international star (1894-1969),[],made,,PPN
von_willebrand,willebrand.n.01,noun.person,n,Finnish physician who first described vascular hemophilia (1870-1949),[],physician,,PPN
vonnegut,vonnegut.n.01,noun.person,n,United States writer whose novels and short stories are a mixture of realism and satire and science fiction (born in 1922),[],writer,,PPN
votary,votary.n.01,noun.person,n,one bound by vows to a religion or life of worship or service,['monasteries of votaries'],bound,,
votary,votary.n.02,noun.person,n,a priest or priestess (or consecrated worshipper) in a non-Christian religion or cult,['a votary of Aphrodite'],priest,,N
